No.,Weekly Schedule,Delivered By,Location,Category,Area,Branch,Frequency,Frequency Count,TL,Delivery Mode,Active Branches
52,MONDAY & THURSDAY,FTI,SL,BRANCH,TAGAYTAY,ABENSON TAGAYTAY SERIN,F8,8,"ENCINARES, BON JOVI",DIRECT,Active
52,MONDAY & THURSDAY,FTI,SL,BRANCH,TAGAYTAY,ROBINSONS TAGAYTAY,F8,8,"ENCINARES, BON JOVI",DIRECT,Active
52,MONDAY,FTI,SL,BRANCH,TAGAYTAY,ROBINSONS SILANG,F4,4,"ENCINARES, BON JOVI",DIRECT,Active
52,MONDAY,FTI,SL,BRANCH,TAGAYTAY,ABENSON WM SILANG,F4,4,"ENCINARES, BON JOVI",DIRECT,Active
52,MONDAY,FTI,SL,BRANCH,TAGAYTAY,ALLHOME SILANG,F4,4,"ENCINARES, BON JOVI",DIRECT,Closed Branch
52,MONDAY & THURSDAY,FTI,SL,BRANCH,TAGAYTAY,ROBINSONS DASMARINAS,F8,8,"ENCINARES, BON JOVI",DIRECT,Active
52,MONDAY & THURSDAY,FTI,SL,BRANCH,TAGAYTAY,ABENSON WM DASMARINAS,F8,8,"ENCINARES, BON JOVI",DIRECT,Active
52,MONDAY,FTI,SL,BRANCH,TAGAYTAY,ABENSON GMA CAVITE,F4,4,"ENCINARES, BON JOVI",DIRECT,Active
53,WEDNESDAY,FTI,MM,BRANCH,TANAY,ABENSON WM TAYTAY,F4,4,"ALBERTO, JOEY",DIRECT,Active
53,WEDNESDAY,FTI,MM,BRANCH,TANAY,CENTRAL QUALITY TAYTAY,F4,4,"ALBERTO, JOEY",DIRECT,Active but not Branch
53,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,TANAY,ABENSON PG TAYTAY,F8,8,"ALBERTO, JOEY",DIRECT,Active
53,WEDNESDAY,FTI,MM,BRANCH,TANAY,ABENSON PG BINANGONAN,F4,4,"JACINTO, LAURO",DIRECT,Active
53,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,TANAY,ROBINSONS BINANGONAN,F8,8,"JACINTO, LAURO",DIRECT,Active
53,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,TANAY,ABENSON PG TANAY,F8,8,"JACINTO, LAURO",DIRECT,Active
53,WEDNESDAY,FTI,MM,BRANCH,TANAY,ROBINSONS TANAY,F4,4,"JACINTO, LAURO",DIRECT,Active
54,WEDNESDAY,FTI,MM,BRANCH,THE FORT,ABENSON PG BUTING,F4,4,"SADIA, IAN",DIRECT,Active
54,WEDNESDAY,FTI,MM,BRANCH,THE FORT,WESTERN UPTOWN TAGUIG,F4,4,"SADIA, IAN",DIRECT,Active
54,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,THE FORT,ANSONS BGC,F8,8,"SADIA, IAN",DIRECT,Active
54,WEDNESDAY,FTI,MM,BRANCH,THE FORT,S&R THE FORT,F4,4,"SADIA, IAN",DIRECT,Active
54,WEDNESDAY,FTI,MM,BRANCH,THE FORT,ABENSON FTI TAGUIG,F4,4,"ALBERTO, JOEY",DIRECT,Active
54,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,THE FORT,ABENSON MARKET MARKET,F8,8,"SADIA, IAN",DIRECT,Active
54,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,THE FORT,ABENSON AC MARKET-MARKET,F8,8,"SADIA, IAN",DIRECT,Active
54,WEDNESDAY,FTI,MM,BRANCH,THE FORT,METRO MARKET MARKET,F4,4,"SADIA, IAN",DIRECT,Active
54,WEDNESDAY,FTI,MM,BRANCH,THE FORT,ALLHOME TAGUIG,F4,4,"SADIA, IAN",DIRECT,Closed Branch
55,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,TRINOMA,ABENSON AC SM NORTH EDSA,F8,8,"PANGILINAN, GIAN CARLO",DIRECT,Active
55,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,TRINOMA,ABENSON SM NORTH EDSA,F8,8,"PANGILINAN, GIAN CARLO",DIRECT,Active
55,WEDNESDAY,FTI,MM,BRANCH,TRINOMA,ABENSON WM NORTH EDSA,F4,4,"TABAGAN, ARTHUR",DIRECT,Active
55,WEDNESDAY,FTI,MM,BRANCH,TRINOMA,WESTERN FISHERMALL,F4,4,"PANGILINAN, GIAN CARLO",DIRECT,Active
55,WEDNESDAY,FTI,MM,BRANCH,TRINOMA,ABENSON QUEZON AVE,F4,4,"PANGILINAN, GIAN CARLO",DIRECT,Active
55,WEDNESDAY,FTI,MM,BRANCH,TRINOMA,ABENSON AVANT TRINOMA,F4,4,"PANGILINAN, GIAN CARLO",DIRECT,To be Closed
55,WEDNESDAY,FTI,MM,BRANCH,TRINOMA,ABENSON AC TRINOMA,F4,4,"PANGILINAN, GIAN CARLO",DIRECT,Active
55,WEDNESDAY,FTI,MM,BRANCH,TRINOMA,WESTERN TRINOMA,F4,4,"PANGILINAN, GIAN CARLO",DIRECT,Active
55,WEDNESDAY,FTI,MM,BRANCH,TRINOMA,ANSONS TRINOMA,F4,4,"PANGILINAN, GIAN CARLO",DIRECT,Active
55,WEDNESDAY,FTI,MM,BRANCH,TRINOMA,ANSONS LM TRINOMA,F4,4,"PANGILINAN, GIAN CARLO",DIRECT,Active
55,WEDNESDAY,FTI,MM,BRANCH,TRINOMA,ANSONS LANDMARK TRINOMA M5,F4,4,"PANGILINAN, GIAN CARLO",DIRECT,Active
56,FRIDAY,FTI,NL,BRANCH,TUGUEGARAO,MAGIC BAMBANG,F2,2,"QUINAGORAN, OLIVER",DIRECT,To be Closed
56,FRIDAY,FTI,NL,BRANCH,TUGUEGARAO,ADDESSA SOLANO,F2,2,"JAMIAS, ERIC",DIRECT,Closed Branch
56,FRIDAY,FTI,NL,ASC,TUGUEGARAO,APPLETRONICS SOLANO,F2,2,,DIRECT,
56,FRIDAY,FTI,NL,ASC,TUGUEGARAO,SAM ELECTRONICS,F2,2,,DIRECT,
56,FRIDAY,FTI,NL,BRANCH,TUGUEGARAO,ROBINSONS TUGUEGARAO,F2,2,"QUINAGORAN, OLIVER",DIRECT,Active
56,FRIDAY,FTI,NL,ASC,TUGUEGARAO,COOL AIDE TUGUEGARAO,F2,2,,DIRECT,
56,FRIDAY,FTI,NL,BRANCH,TUGUEGARAO,SAVERS UGAC,F2,2,"QUINAGORAN, OLIVER",DIRECT,Active
56,FRIDAY,FTI,NL,BRANCH,TUGUEGARAO,MEGASAVER LUNA TUGUEGARAO,F2,2,"QUINAGORAN, OLIVER",DIRECT,Active
56,FRIDAY,FTI,NL,BRANCH,TUGUEGARAO,SAVERS LUNA,F2,2,"JAMIAS, ERIC",DIRECT,Closed Branch
57,FRIDAY,FTI,NL,BRANCH,URDANETA,MAGIC UMINGAN,F4,4,"BESO, GRANNY REY",DIRECT,To be Closed
57,FRIDAY,FTI,NL,BRANCH,URDANETA,MAGIC TAYUG,F4,4,"BESO, GRANNY REY",DIRECT,Active
57,FRIDAY,FTI,NL,BRANCH,URDANETA,CSI TAYUG,F4,4,"BESO, GRANNY REY",DIRECT,Active
57,FRIDAY,FTI,NL,BRANCH,URDANETA,MAGIC URDANETA,F4,4,"BESO, GRANNY REY",DIRECT,Active
57,FRIDAY,FTI,NL,BRANCH,URDANETA,MEGASAVER URDANETA,F4,4,"BESO, GRANNY REY",DIRECT,Active
57,FRIDAY,FTI,NL,BRANCH,URDANETA,MEGASAVER URDANETA 2,F4,4,"BESO, GRANNY REY",DIRECT,Active
57,FRIDAY,FTI,NL,ASC,URDANETA,TECHNOMAGIC URDANETA,F4,4,,DIRECT,
57,FRIDAY,FTI,NL,ASC,URDANETA,APPLETRONICS URDANETA,F4,4,,DIRECT,
57,FRIDAY,FTI,NL,BRANCH,URDANETA,ADDESSA URDANETA,F4,4,"BESO, GRANNY REY",DIRECT,Closed Branch
57,FRIDAY,FTI,NL,BRANCH,URDANETA,MAGIC POZORRUBIO,F4,4,"BESO, GRANNY REY",DIRECT,Active
58,SATURDAY,DIRECT/3PL PICK-UP,SL,BRANCH,MASBATE,ALSONS MASBATE,F4,4,"PAMA, REY JOSEPH",3PL,Active
58,SATURDAY,DIRECT/3PL PICK-UP,SL,BRANCH,MASBATE,DU EK SAM MILAGROS,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,ABENSON AYALA LEGASPI,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,ABENSON CBD NAGA,F4,4,"PAMA, REY JOSEPH",3PL,To be Closed
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,ABENSON LCC IRIGA,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,ABENSON LCC NAGA OLD,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,ABENSON PACIFICMALL LEGASPI,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,ALLHOME NAGA,F4,4,"PAMA, REY JOSEPH",3PL,Closed Branch
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,ALSONS DAET,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,ALSONS GOA,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,ALSONS LIBMANAN,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,ALSONS NAGA,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,ALSONS SIPOCOT,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,IMPERIAL LEGAZPI ALBAY,F4,4,"PAMA, REY JOSEPH",3PL,Closed Branch
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,METRO LEGAZPI,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,ROBINSONS NAGA,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,S&R NAGA,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,ASC,BICOL,WESERCO,F4,4,,3PL,
59,SATURDAY,DIRECT/DOL,SL,ASC,BICOL,ROSIN LEGAZPI,F4,4,,3PL,
59,SATURDAY,DIRECT/DOL,SL,ASC,BICOL,ROLL DAET,F4,4,,3PL,
59,SATURDAY,DIRECT/DOL,SL,ASC,BICOL,FUN IDEA EXTREME,F4,4,,3PL,
59,SATURDAY,DIRECT/DOL,SL,ASC,BICOL,NBJ NAGA,F4,4,,3PL,
59,SATURDAY,DIRECT/DOL,SL,ASC,BICOL,A. RECEBIDO,F4,4,,3PL,
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS BULAN,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS DAET,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS DARAGA,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS GOA,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS IRIGA,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS LABO,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS LEGAZPI,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS LIGAO,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS NAGA,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS PIODURAN,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS POLANGUI,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS SORSOGON,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS PILI,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS GUINOBATAN,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS MASBATE,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS TABACO,F4,4,"PAMA, REY JOSEPH",3PL,Active
59,SATURDAY,DIRECT/DOL,SL,BRANCH,BICOL,WILLY & SONS CAMALIG,F4,4,"PAMA, REY JOSEPH",3PL,Active
